Id;Latitude;Longitude;Betweenness Centrality;Closeness Centrality
83;41.1456546;-8.6154971;447;21.3362101998858
84;41.1464453;-8.6153227;33;20.4592995186681
85;41.1463677;-8.617693;8032;25.432568404896
86;41.1449511;-8.6173278;6160;23.8058107178687
87;41.1448424;-8.6168755;0;19.9792053374473
88;41.1449137;-8.6167322;2048;19.067145702808
89;41.1449577;-8.6166413;2275;22.6642520340702
90;41.1459932;-8.6122147;13490;39.9575033105126
91;41.1460434;-8.6116329;824;32.7549093148208
92;41.1506096;-8.6108667;324;42.5387604392299
93;41.1480088;-8.6180951;8661;23.1964765998846
94;41.1480782;-8.6181363;580;23.3759992402891
95;41.1484675;-8.6182871;1900;25.3808805679355
96;41.1486296;-8.6191929;2408;26.8863761848414
97;41.1483527;-8.6196183;2709;31.05299336589
98;41.1433063;-8.6021347;0;35.2912088994066
99;41.1454983;-8.6032606;910;37.2774604147194
100;41.1440318;-8.6049316;3900;46.5528273430305
101;41.1432179;-8.6024973;1305;42.8620207723353
102;41.1431823;-8.602358;0;20.2999554885495
103;41.1447631;-8.607024;10070;46.9908315433584
104;41.1452971;-8.6043616;1336;40.5060866479999
105;41.1456402;-8.6019485;52;31.9805131714682
106;41.1457394;-8.6018558;0;36.8578867308398
107;41.1464243;-8.6019107;12059;45.9562800034005
108;41.1471305;-8.6019385;12757;52.6493479624223
109;41.1469724;-8.6021759;0;41.6508744272374
110;41.1465342;-8.6038217;873;46.8108014614529
111;41.1464541;-8.6041353;0;29.5895869321227
112;41.1472277;-8.6015512;0;34.7846087387088
113;41.1475418;-8.600616;1287;35.6532398898157
114;41.1477042;-8.6001497;967;32.2561866079626
115;41.1481634;-8.5988057;437;29.854460642974
116;41.1483104;-8.5984758;0;22.8009779425924
117;41.1493955;-8.6041093;3281;58.6999165769827
118;41.1496976;-8.6053983;571;48.8203684967998
119;41.149924;-8.6063779;556;45.0287090149353
120;41.1586674;-8.6075251;0;30.5724964161247
121;41.1574918;-8.6081097;477;33.6648897252769
122;41.1573432;-8.6126499;54;21.9962811077117
123;41.157178;-8.6127422;1252;23.5304522369307
124;41.1566312;-8.6130665;3186;26.3761405574117
125;41.146197;-8.6141;1256;31.1153263466784
126;41.1476349;-8.6137484;1483;31.6827651049869
127;41.1465896;-8.6147418;886;29.1991511174035
128;41.147714;-8.6140459;102;28.325185743472
129;41.1435262;-8.6104145;2377;26.1236448226828
130;41.1441802;-8.6093948;1385;25.5078331860369
131;41.144249;-8.6091904;756;20.6989440191582
132;41.1460534;-8.6033771;0;40.1186818295269
133;41.146945;-8.6005148;10872;43.3888735172412
134;41.1473495;-8.5998151;1465;41.0020544616615
135;41.1479445;-8.5990352;0;35.3079699622442
136;41.1458134;-8.6003403;8913;40.8968943914048
137;41.1458777;-8.5991583;7570;40.1911355344072
138;41.1446592;-8.5986182;6313;36.084381481388
139;41.1454251;-8.601516;3025;24.308297149929
140;41.144771;-8.6005622;3422;24.8007744861418
141;41.1445273;-8.6002066;3840;28.0882929707162
142;41.1443421;-8.5999693;0;26.9278437835412
143;41.1440088;-8.5994978;1294;31.5869093009438
144;41.1417012;-8.5962549;861;33.3077604477924
145;41.1470588;-8.5987301;455;38.0944436624098
146;41.1462791;-8.5962131;0;35.2707039775015
147;41.1525618;-8.597469;2141;47.2645267250638
148;41.152511;-8.5972623;0;24.6320487367805
149;41.1532733;-8.6007815;8632;57.0827629312086
150;41.1569212;-8.6001177;1540;47.9682854016173
151;41.1567952;-8.6076755;1384;38.2981667863977
152;41.1568007;-8.6092463;400;38.5423353871
153;41.1478651;-8.6145055;4036;31.4113524586349
154;41.1471568;-8.6151865;821;28.4908317567538
155;41.1476258;-8.6202036;156;22.6965144222072
156;41.1480274;-8.6122867;4774;28.4900327462418
157;41.1481994;-8.6129656;4630;34.0091702646473
158;41.1478797;-8.6112813;18115;43.4556271820664
159;41.1479508;-8.6121496;27816;42.1432369417868
160;41.1482451;-8.6094375;157;37.040060284636
161;41.1477825;-8.6084215;1032;41.0432651729629
162;41.1425117;-8.6152759;0;20.4084441059883
163;41.1418909;-8.6165362;3358;22.851448926341
164;41.1409169;-8.6174342;4080;28.4213942197169
165;41.1536555;-8.5989783;0;1.62906133999814
166;41.154477;-8.5989796;1;3.18102291169686
167;41.1471808;-8.6178867;8915;24.0529153330995
168;41.1474495;-8.6203514;515;20.2105195233967
169;41.1424817;-8.616929;1143;15.8946729453173
170;41.1429945;-8.6174467;604;14.6889995703424
171;41.1529176;-8.6240719;0;38.2546897456654
172;41.155516;-8.6191649;570;33.0295135335991
173;41.155942;-8.6208367;0;31.1636886977771
174;41.1433167;-8.610334;1100;24.8571201474404
175;41.1600152;-8.621091;0;38.5482880438448
176;41.1500662;-8.6177711;9208;36.6679244347851
177;41.149172;-8.6175418;8852;30.7232479412061
178;41.1509259;-8.6147127;2265;30.6112572764125
179;41.1510452;-8.6147002;281;20.6295935598916
180;41.1480124;-8.6151747;2825;30.5838935285802
181;41.1491595;-8.6149639;1540;31.5743930257334
182;41.1441677;-8.6074486;5825;38.8687527730444
183;41.1429961;-8.6082129;3901;36.6411591623281
184;41.1587582;-8.6045109;0;46.5007212543177
185;41.1566451;-8.6046039;1025;51.0839953580788
186;41.153597;-8.6119957;24492;42.9721165319816
187;41.1535795;-8.611451;1215;35.584258673002
188;41.1535027;-8.6100569;172;34.7645523815784
189;41.1502687;-8.6120989;9628;46.8189965919175
190;41.1482505;-8.61215;9040;37.4059828439426
191;41.1471763;-8.6121861;27175;42.3028652791314
192;41.1536971;-8.6119597;109;28.5008737604227
193;41.157156;-8.6019667;1385;45.6237628431237
194;41.1601915;-8.6044449;0;43.2993619685778
195;41.1555671;-8.6208899;2526;33.0030124408362
196;41.1553223;-8.6195651;1115;31.1688385281633
197;41.155186;-8.6092344;10315;44.1387502776462
198;41.1573499;-8.6091622;793;38.4656660362148
199;41.154823;-8.6209321;2889;38.4334955828335
