Id;Latitude;Longitude;Betweenness Centrality;Closeness Centrality
115;37.0189274;-7.9304806;99125;76.7730901583254
116;37.018398;-7.9299729;64262;78.1608079032153
117;37.0206623;-7.9281605;2973;61.8567674245433
118;37.0207625;-7.9284142;6077;66.8599839973034
119;37.0196736;-7.9294482;6141;66.792589050515
120;37.0196145;-7.9296548;102463;72.2840026984723
121;37.0178179;-7.9308656;7685;67.9063060524011
122;37.0181234;-7.9303805;21139;72.41503320122
123;37.018884;-7.9291749;7444;72.9137552462453
124;37.0183179;-7.9313896;24112;67.4943558978332
125;37.018963;-7.9312146;9456;66.3156312846849
126;37.0186425;-7.9309076;46102;72.0086905977372
127;37.017338;-7.9299601;19143;68.1511080806423
128;37.0168439;-7.9297583;17096;62.9315466763052
129;37.018416;-7.9271301;2440;64.8848332433799
130;37.0168294;-7.9265005;43601;66.7313337373845
131;37.0172185;-7.9250236;43064;69.7054673642137
132;37.0176563;-7.9233019;0;64.8927660191741
133;37.016764;-7.9234;676;53.326821831785
134;37.0156968;-7.9229708;441;53.0732580610512
135;37.015487;-7.9228864;876;56.1971894411943
136;37.0166291;-7.9211737;9;46.4113786567609
137;37.0164303;-7.9210886;4628;58.8150195733406
138;37.0154047;-7.9206695;2003;60.5820882873089
139;37.022481;-7.9276312;54397;72.730965059075
140;37.0223119;-7.9273897;98193;77.6498697779024
141;37.0221705;-7.9272077;59;70.2422151793708
142;37.0219509;-7.9268598;4912;73.8040833296828
143;37.0215798;-7.9263141;5061;75.7639157139885
144;37.0212083;-7.925746;4340;74.463761242519
145;37.0208183;-7.9251724;3572;72.3532829705244
146;37.0203922;-7.9246962;54;68.9932013196295
147;37.0136226;-7.9353657;30;22.1501657897212
148;37.0136841;-7.9354094;2125;25.1470397117378
149;37.0136892;-7.9353064;43;22.8706762662405
150;37.0184244;-7.9345153;5461;54.6195387926879
151;37.0180997;-7.9337385;9145;57.924865499619
152;37.0179174;-7.9331395;3797;53.4981388886122
153;37.0179012;-7.9331113;1111;27.8204222909998
154;37.0178919;-7.9330951;3220;51.1640621190143
155;37.0177008;-7.9327629;12565;57.3402502053358
156;37.017407;-7.9348797;4258;44.2482719330394
157;37.0183713;-7.9352131;4152;44.0033763639796
158;37.0257095;-7.932023;27823;67.8467215698755
159;37.025797;-7.9320326;130916;88.8977198750507
160;37.0188652;-7.9395658;1788;64.1585583856113
161;37.0201707;-7.940742;3956;65.752855505416
162;37.0204234;-7.9402843;67170;66.8374634441446
163;37.0245728;-7.9432749;0;58.3855397080264
164;37.0246226;-7.9432069;0;65.5686184667386
165;37.024684;-7.9431599;32924;77.1284132813119
166;37.0250295;-7.9433389;104369;85.6953842268881
167;37.0248808;-7.9437634;98203;75.5155589718845
168;37.0245636;-7.9436252;97549;76.79216078544
169;37.0273063;-7.9451645;0;81.166450236006
170;37.0247039;-7.9319121;28766;70.0684139009066
171;37.0241424;-7.9322016;54557;72.3298257394103
172;37.0237636;-7.932391;21649;65.6685441794664
173;37.023458;-7.9325439;20501;61.8073378174496
174;37.0230576;-7.9327646;20437;60.8264149446752
175;37.0157848;-7.9315485;12452;52.5219455232052
176;37.0154893;-7.9315474;11234;51.5940335498809
177;37.0150198;-7.9315129;8879;49.8772102861172
178;37.0111516;-7.9333835;32709;50.4888916430504
179;37.0112638;-7.932347;33742;52.7751261572487
180;37.0112944;-7.9321442;7730;53.0796090710731
181;37.0114439;-7.9311994;6647;50.2166180857448
182;37.0123305;-7.9342425;30880;48.1136659249769
183;37.0122762;-7.9346008;12564;42.0471367798848
184;37.0120573;-7.9322226;14599;55.9989892464159
185;37.0125534;-7.9323136;16294;55.868984093409
186;37.0128297;-7.9323638;27181;57.1773609122983
187;37.0133457;-7.9324777;19133;54.7229822646832
188;37.0136063;-7.9325851;2736;52.1881877139599
189;37.0148856;-7.9347496;6769;43.247966389033
190;37.0149156;-7.9349077;0;40.2634841676897
191;37.0154162;-7.9348276;1629;43.8075695309008
192;37.0154831;-7.9347973;0;30.5733070992791
193;37.0243482;-7.9262575;42809;66.798056607424
194;37.0247179;-7.9234768;6792;73.6185457268289
195;37.0259549;-7.9172834;0;71.5434200938437
196;37.0144359;-7.9355729;5910;50.8481859921766
197;37.0146654;-7.9353243;68587;51.972187259017
198;37.0212804;-7.938467;185;44.9644057686886
199;37.0213193;-7.9383196;0;48.7556612908369
200;37.0214755;-7.93825;3237;60.5258275852741
201;37.0255;-7.9349289;5566;59.2609629593216
