Id;Latitude;Longitude;Betweenness Centrality;Closeness Centrality
110;40.2154625;-8.4357977;9012;10.0177328089224
111;40.2154412;-8.4356849;9266;17.99893965455
112;40.2134451;-8.4337896;15340;19.0141231057481
113;40.2185576;-8.438487;329;8.85602704434527
114;40.2179966;-8.4381968;656;9.58749498266004
115;40.217471;-8.4377122;4235;11.112534775742
116;40.2130203;-8.4329894;120;14.8247630605646
117;40.2029199;-8.435485;189;9.44105806832565
118;40.1974728;-8.4361545;0;9.33910883947062
119;40.2111167;-8.4179601;21325;31.0785096723134
120;40.2148159;-8.4175058;1629;19.8217038045656
121;40.2053033;-8.431195;100;3.93389105477217
122;40.2066026;-8.4299759;51;3.88670175302249
123;40.2126627;-8.4195492;1130;19.3651733994837
124;40.2131367;-8.4191376;610;17.0031496827275
125;40.2132445;-8.4190411;326;13.5407067148315
126;40.2125419;-8.4270018;7088;32.026566263888
127;40.2123188;-8.4276362;16802;28.9094467442684
128;40.2140831;-8.4290748;17253;28.7597756056887
129;40.2176767;-8.4371899;1625;26.6308262642884
130;40.2179882;-8.437429;1304;18.3640921671533
131;40.2165436;-8.4356234;16121;34.5905414444525
132;40.2182285;-8.4376169;981;15.3485644661592
133;40.2123909;-8.4201612;4734;25.0775084383518
134;40.2120704;-8.4210689;5086;28.2738096933042
135;40.2118803;-8.4217404;4072;31.4124008663601
136;40.2155476;-8.4145643;0;15.2560022115514
137;40.2135852;-8.427897;6917;29.5511090523457
138;40.2138241;-8.4281378;275;19.3479330544219
139;40.2141448;-8.4282975;11;16.542143916449
140;40.2084992;-8.4320535;1317;9.75320922191217
141;40.2085373;-8.432215;2522;19.7478825883737
142;40.2155509;-8.4371273;656;7.73778969631007
143;40.2152149;-8.4366072;988;6.62427790817031
144;40.2151705;-8.4365195;1474;7.13458183873608
145;40.2151796;-8.4364391;3206;8.87289029231182
146;40.2154066;-8.4359817;3458;9.08366521699002
147;40.2068412;-8.4374748;188;3.84711999100048
148;40.2067647;-8.43754;147;5.93074635502718
149;40.2148788;-8.4324089;15330;30.8670161751511
150;40.2144058;-8.4189554;5901;22.5640468924089
151;40.2141891;-8.4207139;6123;23.2429714608731
152;40.2138149;-8.4221397;6749;25.4310306344728
153;40.213637;-8.4256968;3145;24.4179678713597
154;40.2118145;-8.4160559;0;18.0913225598426
155;40.2116933;-8.4163775;6050;30.3379206221395
156;40.2124795;-8.4232913;0;26.9323709989987
157;40.2131319;-8.4264549;6153;28.7065733127632
158;40.212287;-8.4254053;16159;35.9628602172224
159;40.2134814;-8.4203304;687;15.8187932875406
160;40.2132419;-8.4192283;70;14.9103670758061
161;40.2088198;-8.4249439;2043;16.8845843526539
162;40.202349;-8.4183493;0;10.1466996830941
163;40.2032737;-8.4194708;1664;16.8018186786986
164;40.2030395;-8.4183602;2273;11.2034081748403
165;40.203422;-8.4142361;0;13.3762301011526
166;40.2153531;-8.419983;0;16.8232485666536
167;40.2098736;-8.4279212;698;13.4492512977962
168;40.2098359;-8.4277001;4;11.9809285125152
169;40.2033434;-8.4351529;217;3.4848804807235
170;40.2089865;-8.4275267;531;12.4284453497031
171;40.2105881;-8.4275031;2113;14.4548813653333
172;40.2106366;-8.4268863;1980;13.0797579062416
173;40.2105903;-8.4263507;2909;14.5841704665736
174;40.21182;-8.4287927;0;25.3727474385042
175;40.2071214;-8.4247403;4321;17.8752527137713
176;40.2068698;-8.4264922;1407;17.3699593624706
177;40.20884;-8.4216438;0;14.8782188414613
178;40.2110654;-8.42643;1307;15.0854251582918
179;40.2109136;-8.4277334;656;13.0561039165965
180;40.2111727;-8.4271241;329;10.8733817280123
181;40.2104225;-8.4270235;316;12.9022051249133
182;40.2010464;-8.4343229;0;4.6424267335527
183;40.2031285;-8.4348868;59;4.69332684803606
184;40.2179986;-8.4145478;0;9.76558123170962
185;40.21959;-8.4204929;13;12.5185284876505
186;40.2050796;-8.4152683;0;16.4090514482366
187;40.2063072;-8.4172555;1;7.9796941401253
188;40.2062742;-8.4172425;0;17.5204270873162
189;40.2137764;-8.4335118;14382;20.8006079345057
190;40.2137624;-8.4338686;1887;18.389869016054
191;40.2135482;-8.433648;13225;17.1577363526805
192;40.2127763;-8.4354064;0;16.4398796916919
193;40.2152492;-8.4364654;676;8.41623653883176
194;40.2152691;-8.4365231;0;5.57152464552309
195;40.214425;-8.4358298;1308;9.87798069701845
