Source;Target;Label;Highway;Length;Type
229;228;Rua da Saragoça;residential;17.18;Undirected
230;128;Azinhaga do Carmo;residential;64.18;Undirected
231;138;UNAMED;residential;13.29;Undirected
232;128;UNAMED;residential;89.61;Undirected
233;234;Rua de Aveiro;residential;14.74;Undirected
234;235;Rua de Aveiro;residential;80.18;Undirected
235;236;Rua de Aveiro;residential;55.24;Undirected
233;237;Alameda da Conchada;residential;58.16;Undirected
237;238;Alameda da Conchada;residential;222.78;Undirected
239;240;Largo da Conchada;residential;17.83;Undirected
240;241;Rua Frei Tomé de Jesus;residential;55.63;Undirected
237;242;Rua Alto da Conchada;residential;156.25;Undirected
243;244;Rua Guilherme Fernandes;residential;266.52;Undirected
243;245;Rua da Quinta da Misericórdia;residential;173.51;Undirected
244;240;UNAMED;residential;70.43;Undirected
244;246;Rua 29 de Julho;residential;302.4;Undirected
236;247;Rua Raul dos Reis Carvalheira;residential;165.61;Undirected
248;249;Rua Jorge Mendes;residential;434.61;Undirected
250;127;Travessa do Montarroio;residential;57.96;Undirected
251;84;Rua Rosa Falcão;residential;113.14;Undirected
84;252;Rua Rosa Falcão;residential;84.51;Undirected
149;131;Rua da Figueira da Foz;tertiary;329.8;Undirected
253;205;Estrada de Coselhas;residential;48.54;Undirected
205;254;UNAMED;residential;25.6;Undirected
255;201;Avenida Emídio Navarro;secondary;169.68;Undirected
201;256;Avenida Emídio Navarro;secondary;33.2;Undirected
257;258;Avenida Emídio Navarro;secondary;436.0;Undirected
259;260;Travessa Oleiros;residential;173.33;Undirected
83;261;Rua Mário Pais;residential;112.68;Undirected
191;190;Avenida Fernão de Magalhães;secondary;30.3;Undirected
190;105;Avenida Fernão de Magalhães;secondary;240.77;Undirected
82;191;Avenida Fernão de Magalhães;secondary;44.39;Undirected
135;225;Rua Eça de Queiroz;residential;148.63;Undirected
225;262;Rua Eça de Queiroz;residential;64.71;Undirected
94;263;Rua Dom Afonso Castelo Branco;residential;48.18;Undirected
263;135;Rua Dom Afonso Castelo Branco;residential;81.95;Undirected
158;66;Rua da Manutenção Militar;residential;115.5;Undirected
174;250;Rua de Montarroio;residential;89.48;Undirected
250;158;Rua de Montarroio;residential;205.35;Undirected
242;264;UNAMED;residential;32.15;Undirected
242;243;Rua do Padre Melo;residential;179.02;Undirected
