Source;Target;Label;Highway;Length;Type
268;42;Rua da Padaria;residential;28.01;Undirected
42;254;Rua da Padaria;residential;70.19;Undirected
269;53;Rua das Pedras Negras;residential;67.63;Undirected
270;267;Rua das Pedras Negras;residential;101.3;Undirected
267;269;Rua das Pedras Negras;residential;55.89;Undirected
271;272;Travessa do Almada;residential;26.13;Undirected
272;269;Travessa do Almada;residential;36.38;Undirected
269;273;Travessa do Almada;residential;51.03;Undirected
274;275;Calçada do Carmo;residential;30.8;Undirected
229;276;Rua Ivens;residential;29.14;Undirected
229;57;Calçada de São Francisco;tertiary;162.79;Undirected
277;278;Calçada do Carmo;residential;9.07;Undirected
278;279;Calçada do Carmo;residential;42.7;Undirected
279;280;Calçada do Carmo;residential;80.68;Undirected
281;282;Largo da Trindade;residential;53.82;Undirected
283;284;Largo Doutor António Sousa de Macedo;tertiary;14.07;Undirected
284;285;Largo Doutor António Sousa de Macedo;tertiary;28.96;Undirected
286;287;Rua da Emenda;residential;87.12;Undirected
287;288;Rua da Emenda;residential;89.03;Undirected
288;289;Rua da Emenda;residential;49.06;Undirected
290;291;Rua das Chagas;residential;71.79;Undirected
291;292;Rua das Chagas;residential;66.53;Undirected
292;293;Rua das Chagas;residential;9.06;Undirected
293;294;Rua das Chagas;residential;30.41;Undirected
295;296;Rua Marechal Saldanha;residential;33.96;Undirected
296;297;Rua Marechal Saldanha;residential;20.3;Undirected
297;298;Rua Marechal Saldanha;residential;84.94;Undirected
296;299;Rua do Almada;residential;29.9;Undirected
299;300;Rua do Almada;residential;34.87;Undirected
300;301;Rua do Almada;residential;66.48;Undirected
175;302;Travessa da Boa-Hora ao Bairro Alto;residential;46.31;Undirected
302;303;Travessa da Boa-Hora ao Bairro Alto;residential;61.81;Undirected
178;304;Travessa de São Pedro;residential;33.24;Undirected
305;306;Rua da Rosa;residential;39.05;Undirected
306;307;Rua da Rosa;residential;50.46;Undirected
307;308;Rua da Rosa;residential;60.74;Undirected
308;309;Rua da Rosa;residential;54.68;Undirected
309;310;Rua da Rosa;residential;63.93;Undirected
310;311;Rua da Rosa;residential;4.44;Undirected
